,Author,Article_ID,Date,Reads
0,Cody Nichols,1d1bf608-99f6-477d-906a-224369601803,2023-01-24,2330
1,Lisa Kelley,ad0f2e66-8e97-4e4e-b1ad-887933bb2987,2023-04-29,3619
2,Susan Leonard,346a166d-cd61-44bb-88d7-b3afbbdb61e6,2023-01-15,4819
3,Misty Hull,12a5543a-daae-4dc5-9d2d-35d9817b22fb,2023-01-21,1626
4,Gina Juarez,e386a161-0762-4b8a-837c-3eeb9258108f,2023-05-12,8181
5,Mikayla George,9dce0465-6dc5-441e-842c-be6519c5d8ec,2023-04-17,7075
6,Kathy Moran,9afe80f8-3f55-4af9-a08f-07baa0aff0cd,2023-02-11,1189
7,Rodney Rice,8ba56fef-c837-4465-8add-c9ce3a40ba81,2023-04-01,9535
8,Lee Merritt,f1ee9317-0c54-4864-b4ed-005d89571221,2023-01-03,4075
9,Robert Ryan,07babc9d-f57a-4481-9841-dd47819dc7c3,2023-03-19,1977
10,Angela Hunter,5109f72c-d4e8-4048-a4e2-49ce97513bda,2023-02-02,1122
11,Tyler Barker,b771a6ec-f99c-4e89-9b64-7e925fb3f033,2023-03-27,3814
12,Erika Schroeder,9e5f0a1e-f454-4d08-be51-6ea12c40b240,2023-04-12,1838
13,Mrs. Leah Simpson,a4167456-8db0-4d34-bfc2-491a88fa19dd,2023-04-26,7863
14,Jason Hendrix,2ef252fc-e94f-4733-a04b-1e09412fa7ec,2023-05-25,2138
15,Jason Johnson,0f36555a-6314-4478-9d8e-e0f35465d303,2023-03-17,4939
16,Benjamin Johnson,00265a3d-daac-4f24-9881-ae14d1828482,2023-05-13,7990
17,Mary Oneill,0bdebc4e-e5f9-40ac-9da1-7aac2f972c3c,2023-03-15,3983
18,Frank Welch,11b519cc-c258-4be5-b511-61012bdf8121,2023-04-14,3164
19,Robert Alvarez,ebbc68f4-bfbc-47d2-b6fe-12ab3824dc79,2023-02-12,5158
20,Anita Christensen,ce0ceb2f-7fb9-46ee-823d-ff0ea44669ef,2023-01-28,1910
21,Jamie Parker,26f666db-bcc7-4e7a-adb3-557d812befb3,2023-05-27,1813
22,Brianna Greene,b0f362da-22e4-406f-a690-bf1dcba15840,2023-06-01,3092
23,Lawrence Fuller,8641a2f7-c50a-40db-abc4-e505884bb5a0,2023-03-17,5141
24,Kristopher Gomez,bdf4d665-b02d-4dc2-94ad-11a9ed1d59ac,2023-03-03,2766
25,Allison Parker,143b27a5-f0f9-42b4-8267-4b2e5630f954,2023-03-20,6607
26,Debra Cardenas,587e2eda-c42d-474f-a46a-24007afd98c4,2023-04-09,90
27,Clifford Andrews,bb0bc7b5-e674-4dfa-929a-dc6d862c40a4,2023-02-05,9277
28,Stephanie Stephenson,c19d360e-6346-4d13-99ef-bad4a9ee354f,2023-02-20,1726
29,Melissa White,f2995a29-156e-4bfa-b59f-71dd745086d4,2023-02-22,7978
30,Ashley Lawrence,b27ee9c1-f825-4528-a7a9-b707e1c3c174,2023-04-16,6820
31,Debra Briggs,8c9725fe-0170-4f9b-aeab-5df3bddf0d1d,2023-05-11,4699
32,Mr. James Nguyen,6995f67c-2104-4828-94db-0d5687a1d3da,2023-01-04,6852
33,Kelsey Maldonado,924440e9-5f48-4629-ac70-acf1c98f3833,2023-05-24,351
34,Rebecca Leonard,9c99e041-61b9-4442-92df-d75c0bf450cd,2023-02-19,5397
35,Grace Christensen,26c15bfb-a5e1-4fbd-a66e-c0c57b4179cc,2023-04-22,8576
36,Jamie Hughes,8532568f-5842-412e-97f9-12f01a1d56ec,2023-04-20,9015
