,Author,Article_ID,publish_date,Day,Daily_Reads,content_types
0,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,0,27,1
1,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,1,85,1
2,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,2,32,1
3,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,3,28,1
4,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,4,66,1
5,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,5,74,1
6,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,6,27,1
7,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,7,39,1
8,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,8,11,1
9,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,9,81,1
10,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,10,78,1
11,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,11,76,1
12,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,12,95,1
13,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,13,35,1
14,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,14,49,1
15,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,15,93,1
16,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,16,41,1
17,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,17,35,1
18,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,18,49,1
19,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,19,50,1
20,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,20,53,1
21,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,21,45,1
22,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,22,41,1
23,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,23,85,1
24,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,24,38,1
25,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,25,55,1
26,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,26,57,1
27,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,27,65,1
28,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,28,50,1
29,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,29,86,1
30,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,30,69,1
31,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,31,14,1
32,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,32,38,1
33,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,33,14,1
34,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,34,29,1
35,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,35,31,1
36,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,36,73,1
37,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,37,16,1
38,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,38,1,1
39,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,39,0,1
40,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,40,27,1
41,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,41,83,1
42,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,42,71,1
43,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,43,57,1
44,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,44,4,1
45,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,45,25,1
46,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,46,7,1
47,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,47,35,1
48,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,48,55,1
49,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,49,98,1
50,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,50,30,1
51,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,51,10,1
